# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=wormhole magic=0x7B10CF04 probe_mask=0x1FFFFFFFFFFFFF phases=rtcqfsg variants=t1,t2,t3 base_blocks=32 gset=0 group_reps=16 pad=16 stack_addr=0xFFB007A8 scratch_addr=0x0016B3A0 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
r,t1,0,loop_overhead,-,1,1,32,64,79
r,t1,0,loop_overhead,-,1,1,64,64,141
r,t1,0,loop_overhead,-,1,1,96,64,205
r,t1,0,loop_overhead,-,1,1,128,64,269
r,t1,1,rv_addi_indep,RV,1,1,32,64,2151
r,t1,1,rv_addi_indep,RV,1,1,64,64,4234
r,t1,1,rv_addi_indep,RV,1,1,96,64,6346
r,t1,1,rv_addi_indep,RV,1,1,128,64,8458
r,t1,2,rv_addi_dep,RV,1,1,32,64,2155
r,t1,2,rv_addi_dep,RV,1,1,64,64,4244
r,t1,2,rv_addi_dep,RV,1,1,96,64,6356
r,t1,2,rv_addi_dep,RV,1,1,128,64,8468
r,t1,3,rv_mul_indep,RV,1,1,32,64,4173
r,t1,3,rv_mul_indep,RV,1,1,64,64,8327
r,t1,3,rv_mul_indep,RV,1,1,96,64,12487
r,t1,3,rv_mul_indep,RV,1,1,128,64,16647
r,t1,4,rv_mul_dep,RV,1,1,32,64,4180
r,t1,4,rv_mul_dep,RV,1,1,64,64,8347
r,t1,4,rv_mul_dep,RV,1,1,96,64,12507
r,t1,4,rv_mul_dep,RV,1,1,128,64,16667
r,t1,5,rv_div,RV,1,1,32,64,67655
r,t1,5,rv_div,RV,1,1,64,64,135305
r,t1,5,rv_div,RV,1,1,96,64,202953
r,t1,5,rv_div,RV,1,1,128,64,270601
r,t1,6,rv_load_chase,RV_LSU,1,1,32,64,16438
r,t1,6,rv_load_chase,RV_LSU,1,1,64,64,32876
r,t1,6,rv_load_chase,RV_LSU,1,1,96,64,49310
r,t1,6,rv_load_chase,RV_LSU,1,1,128,64,65728
r,t1,7,rv_load_indep,RV_LSU,1,1,32,64,3595
r,t1,7,rv_load_indep,RV_LSU,1,1,64,64,7177
r,t1,7,rv_load_indep,RV_LSU,1,1,96,64,10761
r,t1,7,rv_load_indep,RV_LSU,1,1,128,64,14347
r,t1,8,rv_store_spread,RV_LSU,1,1,32,64,10652
r,t1,8,rv_store_spread,RV_LSU,1,1,64,64,21275
r,t1,8,rv_store_spread,RV_LSU,1,1,96,64,31925
r,t1,8,rv_store_spread,RV_LSU,1,1,128,64,42579
