# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=wormhole magic=0x7B10CE05 unroll=64 probe_mask=0xC304601 dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,77
A,t1,0,loop_overhead,-,1,1,64,64,141
A,t1,0,loop_overhead,-,1,1,96,64,205
A,t1,0,loop_overhead,-,1,1,128,64,269
A,t1,9,SETDMAREG,THCON,1,1,32,64,2156
A,t1,9,SETDMAREG,THCON,1,1,64,64,4238
A,t1,9,SETDMAREG,THCON,1,1,96,64,6350
A,t1,9,SETDMAREG,THCON,1,1,128,64,8462
A,t1,10,ADDDMAREG,THCON,1,1,32,64,6069
A,t1,10,ADDDMAREG,THCON,1,1,64,64,12232
A,t1,10,ADDDMAREG,THCON,1,1,96,64,18378
A,t1,10,ADDDMAREG,THCON,1,1,128,64,24522
A,t1,14,RDCFG,CFG,1,1,32,64,4055
A,t1,14,RDCFG,CFG,1,1,64,64,8147
A,t1,14,RDCFG,CFG,1,1,96,64,12243
A,t1,14,RDCFG,CFG,1,1,128,64,16339
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,32,64,8153
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,64,64,16343
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,96,64,24535
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,128,64,32727
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,32,64,6125
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,64,64,12267
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,96,64,18411
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,128,64,24555
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,32,64,10178
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,64,64,20418
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,96,64,30658
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,128,64,40898
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,32,64,10184
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,64,64,20421
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,96,64,30660
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,128,64,40900
