# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=wormhole magic=0x7B10CE05 unroll=64 probe_mask=0xFFFFF dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1,t2,t3 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,64,64,141
A,t1,0,loop_overhead,-,1,1,128,64,269
A,t1,0,loop_overhead,-,1,1,192,64,397
A,t1,0,loop_overhead,-,1,1,256,64,525
A,t1,1,NOP,NONE,1,1,64,64,4264
A,t1,1,NOP,NONE,1,1,128,64,8455
A,t1,1,NOP,NONE,1,1,192,64,12679
A,t1,1,NOP,NONE,1,1,256,64,16903
A,t1,2,DMANOP,TDMA,1,1,64,64,4268
A,t1,2,DMANOP,TDMA,1,1,128,64,8469
A,t1,2,DMANOP,TDMA,1,1,192,64,12695
A,t1,2,DMANOP,TDMA,1,1,256,64,16918
A,t1,3,SFPNOP,SFPU,1,1,64,64,4264
A,t1,3,SFPNOP,SFPU,1,1,128,64,8457
A,t1,3,SFPNOP,SFPU,1,1,192,64,12681
A,t1,3,SFPNOP,SFPU,1,1,256,64,16905
A,t1,4,SFPMOV,SFPU,1,1,64,64,4261
A,t1,4,SFPMOV,SFPU,1,1,128,64,8462
A,t1,4,SFPMOV,SFPU,1,1,192,64,12688
A,t1,4,SFPMOV,SFPU,1,1,256,64,16912
A,t1,5,SFPADD,SFPU,1,1,64,64,4263
A,t1,5,SFPADD,SFPU,1,1,128,64,8457
A,t1,5,SFPADD,SFPU,1,1,192,64,12681
A,t1,5,SFPADD,SFPU,1,1,256,64,16905
A,t1,6,SFPMUL,SFPU,1,1,64,64,4261
A,t1,6,SFPMUL,SFPU,1,1,128,64,8457
A,t1,6,SFPMUL,SFPU,1,1,192,64,12681
A,t1,6,SFPMUL,SFPU,1,1,256,64,16905
A,t1,7,SFPMAD,SFPU,1,1,64,64,4259
A,t1,7,SFPMAD,SFPU,1,1,128,64,8464
A,t1,7,SFPMAD,SFPU,1,1,192,64,12688
A,t1,7,SFPMAD,SFPU,1,1,256,64,16913
A,t1,8,SFPABS,SFPU,1,1,64,64,4260
A,t1,8,SFPABS,SFPU,1,1,128,64,8457
A,t1,8,SFPABS,SFPU,1,1,192,64,12681
A,t1,8,SFPABS,SFPU,1,1,256,64,16905
A,t1,9,SETDMAREG,THCON,1,1,64,64,4270
A,t1,9,SETDMAREG,THCON,1,1,128,64,8462
A,t1,9,SETDMAREG,THCON,1,1,192,64,12686
A,t1,9,SETDMAREG,THCON,1,1,256,64,16910
A,t1,10,ADDDMAREG,THCON,1,1,64,64,12212
A,t1,10,ADDDMAREG,THCON,1,1,128,64,24520
A,t1,10,ADDDMAREG,THCON,1,1,192,64,36810
A,t1,10,ADDDMAREG,THCON,1,1,256,64,49098
A,t1,11,MULDMAREG,THCON,1,1,64,64,12212
A,t1,11,MULDMAREG,THCON,1,1,128,64,24513
A,t1,11,MULDMAREG,THCON,1,1,192,64,36804
A,t1,11,MULDMAREG,THCON,1,1,256,64,49091
A,t1,12,SHIFTDMAREG,THCON,1,1,64,64,12212
A,t1,12,SHIFTDMAREG,THCON,1,1,128,64,24509
A,t1,12,SHIFTDMAREG,THCON,1,1,192,64,36810
A,t1,12,SHIFTDMAREG,THCON,1,1,256,64,49098
A,t1,13,CMPDMAREG,THCON,1,1,64,64,12212
A,t1,13,CMPDMAREG,THCON,1,1,128,64,24505
A,t1,13,CMPDMAREG,THCON,1,1,192,64,36810
A,t1,13,CMPDMAREG,THCON,1,1,256,64,49098
A,t1,14,RDCFG,CFG,1,1,64,64,8147
A,t1,14,RDCFG,CFG,1,1,128,64,16339
A,t1,14,RDCFG,CFG,1,1,192,64,24531
A,t1,14,RDCFG,CFG,1,1,256,64,32723
A,t1,15,SETRWC,MATH,1,1,64,64,4260
A,t1,15,SETRWC,MATH,1,1,128,64,8457
A,t1,15,SETRWC,MATH,1,1,192,64,12681
A,t1,15,SETRWC,MATH,1,1,256,64,16905
A,t1,16,INCRWC,MATH,1,1,64,64,4270
A,t1,16,INCRWC,MATH,1,1,128,64,8464
A,t1,16,INCRWC,MATH,1,1,192,64,12688
A,t1,16,INCRWC,MATH,1,1,256,64,16912
A,t1,17,MVMUL,MATH,1,1,64,64,4261
A,t1,17,MVMUL,MATH,1,1,128,64,8462
A,t1,17,MVMUL,MATH,1,1,192,64,12686
A,t1,17,MVMUL,MATH,1,1,256,64,16910
A,t1,18,ELWADD,MATH,1,1,64,64,4264
A,t1,18,ELWADD,MATH,1,1,128,64,8455
A,t1,18,ELWADD,MATH,1,1,192,64,12679
A,t1,18,ELWADD,MATH,1,1,256,64,16903
A,t1,19,ELWMUL,MATH,1,1,64,64,4269
A,t1,19,ELWMUL,MATH,1,1,128,64,8472
A,t1,19,ELWMUL,MATH,1,1,192,64,12696
A,t1,19,ELWMUL,MATH,1,1,256,64,16920
A,t2,0,loop_overhead,-,2,0,64,64,141
A,t2,0,loop_overhead,-,2,0,128,64,269
A,t2,0,loop_overhead,-,2,0,192,64,397
A,t2,0,loop_overhead,-,2,0,256,64,525
A,t2,1,NOP,NONE,2,0,64,64,4247
A,t2,1,NOP,NONE,2,0,128,64,8457
A,t2,1,NOP,NONE,2,0,192,64,12681
A,t2,1,NOP,NONE,2,0,256,64,16905
A,t2,2,DMANOP,TDMA,2,0,64,64,8117
A,t2,2,DMANOP,TDMA,2,0,128,64,16280
A,t2,2,DMANOP,TDMA,2,0,192,64,24468
A,t2,2,DMANOP,TDMA,2,0,256,64,32661
A,t2,3,SFPNOP,SFPU,2,0,64,64,8095
A,t2,3,SFPNOP,SFPU,2,0,128,64,16281
A,t2,3,SFPNOP,SFPU,2,0,192,64,24473
A,t2,3,SFPNOP,SFPU,2,0,256,64,32665
A,t2,4,SFPMOV,SFPU,2,0,64,64,8107
A,t2,4,SFPMOV,SFPU,2,0,128,64,16275
A,t2,4,SFPMOV,SFPU,2,0,192,64,24467
A,t2,4,SFPMOV,SFPU,2,0,256,64,32659
A,t2,5,SFPADD,SFPU,2,0,64,64,8096
A,t2,5,SFPADD,SFPU,2,0,128,64,16285
A,t2,5,SFPADD,SFPU,2,0,192,64,24477
A,t2,5,SFPADD,SFPU,2,0,256,64,32669
A,t2,6,SFPMUL,SFPU,2,0,64,64,8095
A,t2,6,SFPMUL,SFPU,2,0,128,64,16276
A,t2,6,SFPMUL,SFPU,2,0,192,64,24476
A,t2,6,SFPMUL,SFPU,2,0,256,64,32666
A,t2,7,SFPMAD,SFPU,2,0,64,64,8099
A,t2,7,SFPMAD,SFPU,2,0,128,64,16284
A,t2,7,SFPMAD,SFPU,2,0,192,64,24474
A,t2,7,SFPMAD,SFPU,2,0,256,64,32663
A,t2,8,SFPABS,SFPU,2,0,64,64,8097
A,t2,8,SFPABS,SFPU,2,0,128,64,16294
A,t2,8,SFPABS,SFPU,2,0,192,64,24487
A,t2,8,SFPABS,SFPU,2,0,256,64,32679
A,t2,9,SETDMAREG,THCON,2,0,64,64,8107
A,t2,9,SETDMAREG,THCON,2,0,128,64,16280
A,t2,9,SETDMAREG,THCON,2,0,192,64,24470
A,t2,9,SETDMAREG,THCON,2,0,256,64,32664
A,t2,10,ADDDMAREG,THCON,2,0,64,64,24282
A,t2,10,ADDDMAREG,THCON,2,0,128,64,48942
A,t2,10,ADDDMAREG,THCON,2,0,192,64,73522
A,t2,10,ADDDMAREG,THCON,2,0,256,64,98098
A,t2,11,MULDMAREG,THCON,2,0,64,64,24352
A,t2,11,MULDMAREG,THCON,2,0,128,64,48944
A,t2,11,MULDMAREG,THCON,2,0,192,64,73520
A,t2,11,MULDMAREG,THCON,2,0,256,64,98096
A,t2,12,SHIFTDMAREG,THCON,2,0,64,64,24350
A,t2,12,SHIFTDMAREG,THCON,2,0,128,64,48939
A,t2,12,SHIFTDMAREG,THCON,2,0,192,64,73518
A,t2,12,SHIFTDMAREG,THCON,2,0,256,64,98098
