# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=wormhole magic=0x7B10CE05 unroll=64 probe_mask=0xFFFFF dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1,t2,t3 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,77
A,t1,0,loop_overhead,-,1,1,64,64,141
A,t1,0,loop_overhead,-,1,1,96,64,205
A,t1,0,loop_overhead,-,1,1,128,64,269
A,t1,1,NOP,NONE,1,1,32,64,2152
A,t1,1,NOP,NONE,1,1,64,64,4231
A,t1,1,NOP,NONE,1,1,96,64,6343
A,t1,1,NOP,NONE,1,1,128,64,8455
A,t1,2,DMANOP,TDMA,1,1,32,64,2155
A,t1,2,DMANOP,TDMA,1,1,64,64,4245
A,t1,2,DMANOP,TDMA,1,1,96,64,6357
A,t1,2,DMANOP,TDMA,1,1,128,64,8469
A,t1,3,SFPNOP,SFPU,1,1,32,64,2152
A,t1,3,SFPNOP,SFPU,1,1,64,64,4233
A,t1,3,SFPNOP,SFPU,1,1,96,64,6345
A,t1,3,SFPNOP,SFPU,1,1,128,64,8457
A,t1,4,SFPMOV,SFPU,1,1,32,64,2149
A,t1,4,SFPMOV,SFPU,1,1,64,64,4240
A,t1,4,SFPMOV,SFPU,1,1,96,64,6352
A,t1,4,SFPMOV,SFPU,1,1,128,64,8464
A,t1,5,SFPADD,SFPU,1,1,32,64,2151
A,t1,5,SFPADD,SFPU,1,1,64,64,4233
A,t1,5,SFPADD,SFPU,1,1,96,64,6345
A,t1,5,SFPADD,SFPU,1,1,128,64,8457
A,t1,6,SFPMUL,SFPU,1,1,32,64,2150
A,t1,6,SFPMUL,SFPU,1,1,64,64,4233
A,t1,6,SFPMUL,SFPU,1,1,96,64,6345
A,t1,6,SFPMUL,SFPU,1,1,128,64,8457
A,t1,7,SFPMAD,SFPU,1,1,32,64,2148
A,t1,7,SFPMAD,SFPU,1,1,64,64,4240
A,t1,7,SFPMAD,SFPU,1,1,96,64,6353
A,t1,7,SFPMAD,SFPU,1,1,128,64,8464
A,t1,8,SFPABS,SFPU,1,1,32,64,2148
A,t1,8,SFPABS,SFPU,1,1,64,64,4233
A,t1,8,SFPABS,SFPU,1,1,96,64,6345
A,t1,8,SFPABS,SFPU,1,1,128,64,8457
A,t1,9,SETDMAREG,THCON,1,1,32,64,2157
A,t1,9,SETDMAREG,THCON,1,1,64,64,4238
A,t1,9,SETDMAREG,THCON,1,1,96,64,6350
A,t1,9,SETDMAREG,THCON,1,1,128,64,8462
A,t1,10,ADDDMAREG,THCON,1,1,32,64,6068
A,t1,10,ADDDMAREG,THCON,1,1,64,64,12230
A,t1,10,ADDDMAREG,THCON,1,1,96,64,18378
A,t1,10,ADDDMAREG,THCON,1,1,128,64,24522
A,t1,11,MULDMAREG,THCON,1,1,32,64,6068
A,t1,11,MULDMAREG,THCON,1,1,64,64,12226
A,t1,11,MULDMAREG,THCON,1,1,96,64,18372
A,t1,11,MULDMAREG,THCON,1,1,128,64,24516
A,t1,12,SHIFTDMAREG,THCON,1,1,32,64,6068
A,t1,12,SHIFTDMAREG,THCON,1,1,64,64,12221
