# nocreadbench arch=wormhole grid=8x8 num_tx=16 repeats=1
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
size,0,0,0,0,1,1,1,25,18,7,16,64,0,0,883,55.188,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,1,0,0,1,1,1,25,18,7,16,128,0,0,891,55.688,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,2,0,0,1,1,1,25,18,7,16,256,0,0,889,55.562,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,3,0,0,1,1,1,25,18,7,16,512,0,0,898,56.125,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,4,0,0,1,1,1,25,18,7,16,1024,0,0,905,56.562,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,5,0,0,1,1,1,25,18,7,16,2048,0,0,1289,80.562,6,6,16,0xFFFFFFFF,0xFFFFFFFF,0,6,5,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,6,0,0,1,1,1,25,18,7,16,4096,0,0,2360,147.500,11,11,16,0xFFFFFFFF,0xFFFFFFFF,0,11,10,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,7,0,0,1,1,1,19,18,1,16,64,0,0,874,54.625,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,8,0,0,1,1,1,20,18,2,16,64,0,0,884,55.250,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,9,0,0,1,1,1,21,18,3,16,64,0,0,885,55.312,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,10,0,0,1,1,1,22,18,4,16,64,0,0,881,55.062,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,11,0,0,1,1,1,23,18,5,16,64,0,0,880,55.000,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,12,0,0,1,1,1,24,18,6,16,64,0,0,882,55.125,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,13,0,0,1,1,1,25,18,7,16,64,0,0,882,55.125,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,14,0,0,1,1,1,18,19,1,16,64,0,0,907,56.688,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,15,0,0,1,1,1,18,20,2,16,64,0,0,904,56.500,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
