# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=wormhole grid_x=10 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=18-18,18-19,18-20,18-21,18-22,18-23,18-24,18-25,19-18,19-19,19-25,20-18,20-20,20-24,21-18,21-21,22-18,22-19,22-22,23-18,23-20,23-23,24-18,24-20,24-24,25-18,25-25
# hops: 21 points, 21 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 20 points, 40 flows
# measured by nocbench on arch=wormhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,18,18,1,1,1,0,19,18,2,1,0,0,1,0,64,4096,1,10,0,0,1,8675,162027742,162036417,12,1,1,0
1,hops,row+2,0,1,0,0,18,18,1,1,2,0,20,18,3,1,0,0,1,0,64,4096,2,10,0,0,1,8659,163104235,163112894,12,1,1,0
2,hops,row+3,0,1,0,0,18,18,1,1,3,0,21,18,4,1,0,0,1,0,64,4096,3,10,0,0,1,8670,164401766,164410436,12,1,1,0
3,hops,row+5,0,1,0,0,18,18,1,1,4,0,22,18,6,1,0,0,1,0,64,4096,5,10,0,0,1,8659,165402500,165411159,12,1,1,0
4,hops,row+6,0,1,0,0,18,18,1,1,5,0,23,18,7,1,0,0,1,0,64,4096,6,10,0,0,1,8653,166415571,166424224,12,1,1,0
5,hops,row+7,0,1,0,0,18,18,1,1,6,0,24,18,8,1,0,0,1,0,64,4096,7,10,0,0,1,8642,167699731,167708373,12,1,1,0
6,hops,row+8,0,1,0,0,18,18,1,1,7,0,25,18,9,1,0,0,1,0,64,4096,8,10,0,0,1,8645,168698643,168707288,12,1,1,0
7,hops,col+1,0,1,0,0,18,18,1,1,0,1,18,19,1,2,0,0,1,0,64,4096,1,12,0,0,1,8686,169706272,169714958,12,1,1,0
8,hops,col+3,0,1,0,0,18,18,1,1,0,2,18,20,1,4,0,0,1,0,64,4096,3,12,0,0,1,8691,170697202,170705893,13,1,1,0
9,hops,col+4,0,1,0,0,18,18,1,1,0,3,18,21,1,5,0,0,1,0,64,4096,4,12,0,0,1,8699,171683609,171692308,12,1,1,0
10,hops,col+6,0,1,0,0,18,18,1,1,0,4,18,22,1,7,0,0,1,0,64,4096,6,12,0,0,1,8684,172667846,172676530,12,1,1,0
11,hops,col+7,0,1,0,0,18,18,1,1,0,5,18,23,1,8,0,0,1,0,64,4096,7,12,0,0,1,8693,173675043,173683736,12,1,1,0
12,hops,col+8,0,1,0,0,18,18,1,1,0,6,18,24,1,9,0,0,1,0,64,4096,8,12,0,0,1,8674,174953077,174961751,12,1,1,0
13,hops,col+9,0,1,0,0,18,18,1,1,0,7,18,25,1,10,0,0,1,0,64,4096,9,12,0,0,1,8671,175960390,175969061,12,1,1,0
14,hops,diag+2-2,0,1,0,0,18,18,1,1,1,1,19,19,2,2,0,0,1,0,64,4096,2,22,0,0,1,8773,176959118,176967891,12,1,1,0
15,hops,diag+3-4,0,1,0,0,18,18,1,1,2,2,20,20,3,4,0,0,1,0,64,4096,5,22,0,0,1,8760,177954692,177963452,12,1,1,0
16,hops,diag+4-5,0,1,0,0,18,18,1,1,3,3,21,21,4,5,0,0,1,0,64,4096,7,22,0,0,1,8749,179219435,179228184,13,1,1,0
17,hops,diag+6-7,0,1,0,0,18,18,1,1,4,4,22,22,6,7,0,0,1,0,64,4096,11,22,0,0,1,8764,180214948,180223712,12,1,1,0
18,hops,diag+7-8,0,1,0,0,18,18,1,1,5,5,23,23,7,8,0,0,1,0,64,4096,13,22,0,0,1,8740,181204426,181213166,12,1,1,0
19,hops,diag+8-9,0,1,0,0,18,18,1,1,6,6,24,24,8,9,0,0,1,0,64,4096,15,22,0,0,1,8732,182207432,182216164,12,1,1,0
20,hops,diag+9-10,0,1,0,0,18,18,1,1,7,7,25,25,9,10,0,0,1,0,64,4096,17,22,0,0,1,8754,183212861,183221615,13,1,1,0
21,size,64B,0,1,0,0,18,18,1,1,1,1,19,19,2,2,0,0,1,0,64,64,2,22,0,0,1,2991,184200619,184203610,12,1,1,0
22,size,512B,0,1,0,0,18,18,1,1,1,1,19,19,2,2,0,0,1,0,64,512,2,22,0,0,1,3007,185236902,185239909,12,1,1,0
23,size,4096B,0,1,0,0,18,18,1,1,1,1,19,19,2,2,0,0,1,0,64,4096,2,22,0,0,1,8771,186228938,186237709,13,1,1,0
