# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=wormhole grid_x=10 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=18-18,18-19,18-20,18-21,18-22,18-23,18-24,18-25,19-18,19-19,19-25,20-18,20-20,20-24,21-18,21-21,22-18,22-19,22-22,23-18,23-20,23-23,24-18,24-20,24-24,25-18,25-25
# hops: 21 points, 21 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 20 points, 40 flows
# measured by nocbench on arch=wormhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,18,18,1,1,1,0,19,18,2,1,0,0,1,0,64,4096,1,10,0,0,1,8669,4011048622,4011057291,12,1,1,0
1,hops,row+2,0,1,0,0,18,18,1,1,2,0,20,18,3,1,0,0,1,0,64,4096,2,10,0,0,1,8676,4012479943,4012488619,13,1,1,0
2,hops,row+3,0,1,0,0,18,18,1,1,3,0,21,18,4,1,0,0,1,0,64,4096,3,10,0,0,1,8659,4013683819,4013692478,12,1,1,0
3,hops,row+5,0,1,0,0,18,18,1,1,4,0,22,18,6,1,0,0,1,0,64,4096,5,10,0,0,1,8651,4014873102,4014881753,12,1,1,0
4,hops,row+6,0,1,0,0,18,18,1,1,5,0,23,18,7,1,0,0,1,0,64,4096,6,10,0,0,1,8693,4016078125,4016086818,14,1,1,0
5,hops,row+7,0,1,0,0,18,18,1,1,6,0,24,18,8,1,0,0,1,0,64,4096,7,10,0,0,1,8651,4017266727,4017275378,19,1,1,0
6,hops,row+8,0,1,0,0,18,18,1,1,7,0,25,18,9,1,0,0,1,0,64,4096,8,10,0,0,1,8651,4018463954,4018472605,13,1,1,0
7,hops,col+1,0,1,0,0,18,18,1,1,0,1,18,19,1,2,0,0,1,0,64,4096,1,12,0,0,1,8681,4019658878,4019667559,9,1,1,0
8,hops,col+3,0,1,0,0,18,18,1,1,0,2,18,20,1,4,0,0,1,0,64,4096,3,12,0,0,1,8683,4020855657,4020864340,12,1,1,0
9,hops,col+4,0,1,0,0,18,18,1,1,0,3,18,21,1,5,0,0,1,0,64,4096,4,12,0,0,1,8692,4022138771,4022147463,12,1,1,0
10,hops,col+6,0,1,0,0,18,18,1,1,0,4,18,22,1,7,0,0,1,0,64,4096,6,12,0,0,1,8667,4023332063,4023340730,12,1,1,0
11,hops,col+7,0,1,0,0,18,18,1,1,0,5,18,23,1,8,0,0,1,0,64,4096,7,12,0,0,1,8677,4024530253,4024538930,13,1,1,0
12,hops,col+8,0,1,0,0,18,18,1,1,0,6,18,24,1,9,0,0,1,0,64,4096,8,12,0,0,1,8666,4025717952,4025726618,13,1,1,0
13,hops,col+9,0,1,0,0,18,18,1,1,0,7,18,25,1,10,0,0,1,0,64,4096,9,12,0,0,1,8676,4026908657,4026917333,12,1,1,0
14,hops,diag+2-2,0,1,0,0,18,18,1,1,1,1,19,19,2,2,0,0,1,0,64,4096,2,22,0,0,1,8758,4028410677,4028419435,12,1,1,0
15,hops,diag+3-4,0,1,0,0,18,18,1,1,2,2,20,20,3,4,0,0,1,0,64,4096,5,22,0,0,1,8764,4029603403,4029612167,12,1,1,0
16,hops,diag+4-5,0,1,0,0,18,18,1,1,3,3,21,21,4,5,0,0,1,0,64,4096,7,22,0,0,1,8744,4030772487,4030781231,13,1,1,0
17,hops,diag+6-7,0,1,0,0,18,18,1,1,4,4,22,22,6,7,0,0,1,0,64,4096,11,22,0,0,1,8743,4032132717,4032141460,12,1,1,0
18,hops,diag+7-8,0,1,0,0,18,18,1,1,5,5,23,23,7,8,0,0,1,0,64,4096,13,22,0,0,1,8745,4033267430,4033276175,12,1,1,0
19,hops,diag+8-9,0,1,0,0,18,18,1,1,6,6,24,24,8,9,0,0,1,0,64,4096,15,22,0,0,1,8761,4034370904,4034379665,14,1,1,0
