# PRE-BUILT PLAN for the harvested Blackhole card, so the card box needs no
# tt_sim/ and no numpy/pyyaml. Generated at home by:
#   python3 -m tt_sim.perf.noc_congestion_plan \
#     --grid tt_sim/perf/datasets/nocbench-grid-blackhole.csv \
#     --out perfbench/nocbench/noc-plan-blackhole.csv \
#     --shared-sizes 64,512,2048,8192,16384
# from that card's own 2026-08-05 --dump-grid capture (addressed worker columns
# {1..7, 10..14}; physical {1..6, 11..16}). run_card_session.sh verifies every
# tile named here exists in the card's LIVE dump before using it, and refuses
# rather than measure against a grid this plan was not built for. Regenerate if
# the card, its harvesting, or the experiment arguments change.
# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,2-2,2-3,2-4,2-11,3-2,3-4,3-10,4-2,4-4,4-5,5-2,5-4,5-6,6-2,6-3,6-7,7-2,7-4,7-8,10-2,10-4,10-9,11-2,11-4,11-10,12-2,12-4,13-2
# hops: 24 points, 24 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 40 points, 80 flows
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links
0,hops,row+1,0,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,0,64,4096,1,17,0,0
1,hops,row+2,0,1,0,0,1,2,1,2,2,0,3,2,3,2,0,0,1,0,64,4096,2,17,0,0
2,hops,row+3,0,1,0,0,1,2,1,2,3,0,4,2,4,2,0,0,1,0,64,4096,3,17,0,0
3,hops,row+4,0,1,0,0,1,2,1,2,4,0,5,2,5,2,0,0,1,0,64,4096,4,17,0,0
4,hops,row+5,0,1,0,0,1,2,1,2,5,0,6,2,6,2,0,0,1,0,64,4096,5,17,0,0
5,hops,row+10,0,1,0,0,1,2,1,2,6,0,7,2,11,2,0,0,1,0,64,4096,10,17,0,0
6,hops,row+11,0,1,0,0,1,2,1,2,7,0,10,2,12,2,0,0,1,0,64,4096,11,17,0,0
7,hops,row+12,0,1,0,0,1,2,1,2,8,0,11,2,13,2,0,0,1,0,64,4096,12,17,0,0
8,hops,col+1,0,1,0,0,1,2,1,2,0,1,1,3,1,3,0,0,1,0,64,4096,1,12,0,0
9,hops,col+2,0,1,0,0,1,2,1,2,0,2,1,4,1,4,0,0,1,0,64,4096,2,12,0,0
10,hops,col+3,0,1,0,0,1,2,1,2,0,3,1,5,1,5,0,0,1,0,64,4096,3,12,0,0
11,hops,col+4,0,1,0,0,1,2,1,2,0,4,1,6,1,6,0,0,1,0,64,4096,4,12,0,0
12,hops,col+5,0,1,0,0,1,2,1,2,0,5,1,7,1,7,0,0,1,0,64,4096,5,12,0,0
13,hops,col+6,0,1,0,0,1,2,1,2,0,6,1,8,1,8,0,0,1,0,64,4096,6,12,0,0
14,hops,col+7,0,1,0,0,1,2,1,2,0,7,1,9,1,9,0,0,1,0,64,4096,7,12,0,0
15,hops,col+8,0,1,0,0,1,2,1,2,0,8,1,10,1,10,0,0,1,0,64,4096,8,12,0,0
16,hops,diag+2-3,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,4096,2,29,0,0
17,hops,diag+3-4,0,1,0,0,1,2,1,2,2,2,3,4,3,4,0,0,1,0,64,4096,4,29,0,0
18,hops,diag+4-5,0,1,0,0,1,2,1,2,3,3,4,5,4,5,0,0,1,0,64,4096,6,29,0,0
19,hops,diag+5-6,0,1,0,0,1,2,1,2,4,4,5,6,5,6,0,0,1,0,64,4096,8,29,0,0
20,hops,diag+6-7,0,1,0,0,1,2,1,2,5,5,6,7,6,7,0,0,1,0,64,4096,10,29,0,0
21,hops,diag+11-8,0,1,0,0,1,2,1,2,6,6,7,8,11,8,0,0,1,0,64,4096,16,29,0,0
22,hops,diag+12-9,0,1,0,0,1,2,1,2,7,7,10,9,12,9,0,0,1,0,64,4096,18,29,0,0
23,hops,diag+13-10,0,1,0,0,1,2,1,2,8,8,11,10,13,10,0,0,1,0,64,4096,20,29,0,0
24,size,64B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,64,2,29,0,0
25,size,512B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,512,2,29,0,0
26,size,4096B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,4096,2,29,0,0
27,size,16384B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,64,16384,2,29,0,0
28,readport,1flow,0,1,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,0,0
29,readport,2flows,0,2,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,1,3
29,readport,2flows,1,2,2,8,3,10,3,10,0,0,1,2,1,2,0,0,1,1,64,8192,19,29,1,3
30,shared,64B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,0,0
30,shared,64B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,64,10,29,0,0
31,shared,64B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,1,0
31,shared,64B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,64,10,29,1,0
32,shared,64B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,2,0
32,shared,64B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,64,10,29,2,0
33,shared,64B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,3,0
33,shared,64B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,64,10,29,3,0
34,shared,64B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,4,0
34,shared,64B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,64,10,29,4,0
35,shared,64B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,5,0
35,shared,64B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,64,10,29,5,0
36,shared,64B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,6,0
36,shared,64B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,64,10,29,6,0
37,shared,64B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,64,9,29,7,0
37,shared,64B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,64,10,29,7,0
38,shared,512B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,0,0
38,shared,512B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,512,10,29,0,0
39,shared,512B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,1,0
39,shared,512B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,512,10,29,1,0
40,shared,512B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,2,0
40,shared,512B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,512,10,29,2,0
41,shared,512B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,3,0
41,shared,512B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,512,10,29,3,0
42,shared,512B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,4,0
42,shared,512B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,512,10,29,4,0
43,shared,512B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,5,0
43,shared,512B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,512,10,29,5,0
44,shared,512B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,6,0
44,shared,512B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,512,10,29,6,0
45,shared,512B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,512,9,29,7,0
45,shared,512B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,512,10,29,7,0
46,shared,2048B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,0,0
46,shared,2048B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,2048,10,29,0,0
47,shared,2048B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,1,0
47,shared,2048B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,2048,10,29,1,0
48,shared,2048B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,2,0
48,shared,2048B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,2048,10,29,2,0
49,shared,2048B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,3,0
49,shared,2048B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,2048,10,29,3,0
50,shared,2048B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,4,0
50,shared,2048B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,2048,10,29,4,0
51,shared,2048B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,5,0
51,shared,2048B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,2048,10,29,5,0
52,shared,2048B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,6,0
52,shared,2048B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,2048,10,29,6,0
53,shared,2048B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,2048,9,29,7,0
53,shared,2048B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,2048,10,29,7,0
54,shared,8192B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,0,0
54,shared,8192B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,8192,10,29,0,0
55,shared,8192B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,1,0
55,shared,8192B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,8192,10,29,1,0
56,shared,8192B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,2,0
56,shared,8192B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,8192,10,29,2,0
57,shared,8192B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,3,0
57,shared,8192B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,8192,10,29,3,0
58,shared,8192B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,4,0
58,shared,8192B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,8192,10,29,4,0
59,shared,8192B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,5,0
59,shared,8192B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,8192,10,29,5,0
60,shared,8192B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,6,0
60,shared,8192B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,8192,10,29,6,0
61,shared,8192B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,8192,9,29,7,0
61,shared,8192B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,8192,10,29,7,0
62,shared,16384B/share0,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,0,0
62,shared,16384B/share0,1,2,5,0,6,2,6,2,9,2,12,4,14,4,0,0,1,0,64,16384,10,29,0,0
63,shared,16384B/share1,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,1,0
63,shared,16384B/share1,1,2,4,0,5,2,5,2,8,2,11,4,13,4,0,0,1,0,64,16384,10,29,1,0
64,shared,16384B/share2,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,2,0
64,shared,16384B/share2,1,2,3,0,4,2,4,2,7,2,10,4,12,4,0,0,1,0,64,16384,10,29,2,0
65,shared,16384B/share3,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,3,0
65,shared,16384B/share3,1,2,2,0,3,2,3,2,6,2,7,4,11,4,0,0,1,0,64,16384,10,29,3,0
66,shared,16384B/share4,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,4,0
66,shared,16384B/share4,1,2,6,0,7,2,11,2,1,2,2,4,2,4,0,0,1,0,64,16384,10,29,4,0
67,shared,16384B/share5,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,5,0
67,shared,16384B/share5,1,2,7,0,10,2,12,2,2,2,3,4,3,4,0,0,1,0,64,16384,10,29,5,0
68,shared,16384B/share6,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,6,0
68,shared,16384B/share6,1,2,8,0,11,2,13,2,3,2,4,4,4,4,0,0,1,0,64,16384,10,29,6,0
69,shared,16384B/share7,0,2,10,0,13,2,15,2,5,1,6,3,6,3,0,0,1,0,64,16384,9,29,7,0
69,shared,16384B/share7,1,2,9,0,12,2,14,2,4,2,5,4,5,4,0,0,1,0,64,16384,10,29,7,0
