# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=wormhole grid_x=10 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=18-18,18-19,18-20,18-21,18-22,18-23,18-24,18-25,19-18,19-19,19-25,20-18,20-20,20-24,21-18,21-21,22-18,22-19,22-22,23-18,23-20,23-23,24-18,24-20,24-24,25-18,25-25
# hops: 21 points, 21 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 20 points, 40 flows
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links
0,hops,row+1,0,1,0,0,18,18,1,1,1,0,19,18,2,1,0,0,1,0,64,4096,1,10,0,0
1,hops,row+2,0,1,0,0,18,18,1,1,2,0,20,18,3,1,0,0,1,0,64,4096,2,10,0,0
2,hops,row+3,0,1,0,0,18,18,1,1,3,0,21,18,4,1,0,0,1,0,64,4096,3,10,0,0
3,hops,row+5,0,1,0,0,18,18,1,1,4,0,22,18,6,1,0,0,1,0,64,4096,5,10,0,0
4,hops,row+6,0,1,0,0,18,18,1,1,5,0,23,18,7,1,0,0,1,0,64,4096,6,10,0,0
5,hops,row+7,0,1,0,0,18,18,1,1,6,0,24,18,8,1,0,0,1,0,64,4096,7,10,0,0
6,hops,row+8,0,1,0,0,18,18,1,1,7,0,25,18,9,1,0,0,1,0,64,4096,8,10,0,0
7,hops,col+1,0,1,0,0,18,18,1,1,0,1,18,19,1,2,0,0,1,0,64,4096,1,12,0,0
8,hops,col+3,0,1,0,0,18,18,1,1,0,2,18,20,1,4,0,0,1,0,64,4096,3,12,0,0
9,hops,col+4,0,1,0,0,18,18,1,1,0,3,18,21,1,5,0,0,1,0,64,4096,4,12,0,0
10,hops,col+6,0,1,0,0,18,18,1,1,0,4,18,22,1,7,0,0,1,0,64,4096,6,12,0,0
11,hops,col+7,0,1,0,0,18,18,1,1,0,5,18,23,1,8,0,0,1,0,64,4096,7,12,0,0
12,hops,col+8,0,1,0,0,18,18,1,1,0,6,18,24,1,9,0,0,1,0,64,4096,8,12,0,0
13,hops,col+9,0,1,0,0,18,18,1,1,0,7,18,25,1,10,0,0,1,0,64,4096,9,12,0,0
14,hops,diag+2-2,0,1,0,0,18,18,1,1,1,1,19,19,2,2,0,0,1,0,64,4096,2,22,0,0
