# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=noc0
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-2,1-3,1-4,2-2,2-3,2-11,3-2,3-3,3-4,3-10,4-4,5-4
# hops: 6 points, 6 flows
# size: 3 points, 3 flows
# readport: 2 points, 3 flows
# shared: 4 points, 8 flows
# measured by nocbench on arch=blackhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,0,8,4096,1,17,0,0,1,760,8175,8935,3,1,2,0
1,hops,row+2,0,1,0,0,1,2,1,2,2,0,3,2,3,2,0,0,1,0,8,4096,2,17,0,0,1,760,10276,11036,3,1,2,0
2,hops,col+1,0,1,0,0,1,2,1,2,0,1,1,3,1,3,0,0,1,0,8,4096,1,12,0,0,1,716,12377,13093,3,1,2,0
3,hops,col+2,0,1,0,0,1,2,1,2,0,2,1,4,1,4,0,0,1,0,8,4096,2,12,0,0,1,716,14370,15086,3,1,2,0
4,hops,diag+2-3,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,8,4096,2,29,0,0,1,868,16385,17253,3,1,2,0
5,hops,diag+3-4,0,1,0,0,1,2,1,2,2,2,3,4,3,4,0,0,1,0,8,4096,4,29,0,0,1,868,18573,19441,3,1,2,0
6,size,64B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,8,64,2,29,0,0,1,554,20782,21336,3,1,2,0
7,size,512B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,8,512,2,29,0,0,1,560,22677,23237,3,1,2,0
8,size,4096B,0,1,0,0,1,2,1,2,1,1,2,3,2,3,0,0,1,0,8,4096,2,29,0,0,1,868,24578,25446,3,1,2,0
9,readport,1flow,0,1,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,8,8192,19,29,0,0,1,1366,26773,28139,3,2,11,0
10,readport,2flows,0,2,1,9,2,11,2,11,0,0,1,2,1,2,0,0,1,1,8,8192,19,29,1,3,1,1750,30322,32072,6,2,11,0
10,readport,2flows,1,2,2,8,3,10,3,10,0,0,1,2,1,2,0,0,1,1,8,8192,19,29,1,3,1,2280,30432,32712,518,3,10,0
11,shared,512B/share0,0,2,0,0,1,2,1,2,2,1,3,3,3,3,0,0,1,0,8,512,3,29,0,0,1,560,34915,35475,6,1,2,0
11,shared,512B/share0,1,2,2,0,3,2,3,2,4,2,5,4,5,4,0,0,1,0,8,512,4,29,0,0,1,560,34938,35498,418,3,2,0
12,shared,512B/share1,0,2,0,0,1,2,1,2,2,1,3,3,3,3,0,0,1,0,8,512,3,29,1,0,1,560,37826,38386,6,1,2,0
12,shared,512B/share1,1,2,1,0,2,2,2,2,3,2,4,4,4,4,0,0,1,0,8,512,4,29,1,0,1,560,37840,38400,434,2,2,0
13,shared,4096B/share0,0,2,0,0,1,2,1,2,2,1,3,3,3,3,0,0,1,0,8,4096,3,29,0,0,1,868,40715,41583,6,1,2,0
13,shared,4096B/share0,1,2,2,0,3,2,3,2,4,2,5,4,5,4,0,0,1,0,8,4096,4,29,0,0,1,868,40735,41603,414,3,2,0
14,shared,4096B/share1,0,2,0,0,1,2,1,2,2,1,3,3,3,3,0,0,1,0,8,4096,3,29,1,0,1,868,43912,44780,6,1,2,0
14,shared,4096B/share1,1,2,1,0,2,2,2,2,3,2,4,4,4,4,0,0,1,0,8,4096,4,29,1,0,1,868,43923,44791,406,2,2,0
