# nocreadbench arch=wormhole grid=8x9 num_tx=4 repeats=1 mode=stateless sim=1 dram=1 noc_events=0 congruence=32
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# src_kind/src_base/dst_base/landed are what the KERNEL ran, not what it
# was asked to: landed is the first word the TIMED burst put at dst_base, and
# a row is a DRAM read iff landed == sig_src with sig_src in the 0xD4A5....
# half of the signature space. landed_ok is -1 where the landing address is
# walked or the sources cycled, meaning NOT LOOKED AT rather than not verified
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness,src_kind,src_base,dst_base,landed,landed_ok
burst,0,0,0,0,1,1,1,9,1,8,4,64,0,0,318,79.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
burst,0,1,0,0,1,1,1,9,1,8,16,64,0,0,846,52.875,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
burst,0,2,0,0,1,1,1,9,1,8,64,64,0,0,2958,46.219,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
burst,0,3,0,0,1,1,1,9,1,8,128,64,0,0,5774,45.109,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,4,0,0,1,1,1,9,1,8,4,512,0,0,326,81.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,5,0,0,1,1,1,9,1,8,16,512,0,0,854,53.375,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,6,0,0,1,1,1,9,1,8,64,512,0,0,2966,46.344,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,7,0,0,1,1,1,9,1,8,128,512,0,0,5782,45.172,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,8,0,0,1,1,1,9,1,8,4,1024,0,0,342,85.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,9,0,0,1,1,1,9,1,8,16,1024,0,0,870,54.375,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,10,0,0,1,1,1,9,1,8,64,1024,0,0,2982,46.594,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,11,0,0,1,1,1,9,1,8,128,1024,0,0,5798,45.297,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,12,0,0,1,1,1,9,1,8,4,2048,0,0,438,109.500,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,13,0,0,1,1,1,9,1,8,16,2048,0,0,1206,75.375,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
bigburst,0,14,0,0,1,1,1,9,1,8,64,2048,0,0,4278,66.844,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0x00000000,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A0901,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
