# nocreadbench arch=wormhole grid=8x9 num_tx=8 repeats=1 mode=stateful sim=1 dram=0 noc_events=0 congruence=32
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# src_kind/src_base/dst_base/landed are what the KERNEL ran, not what it
# was asked to: landed is the first word the TIMED burst put at dst_base, and
# a row is a DRAM read iff landed == sig_src with sig_src in the 0xD4A5....
# half of the signature space. landed_ok is -1 where the landing address is
# walked or the sources cycled, meaning NOT LOOKED AT rather than not verified
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness,src_kind,src_base,dst_base,landed,landed_ok
size,0,0,0,0,1,1,1,9,1,8,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
size,0,1,0,0,1,1,1,9,1,8,8,128,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
size,0,2,0,0,1,1,1,9,1,8,8,256,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
size,0,3,0,0,1,1,1,9,1,8,8,512,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
size,0,4,0,0,1,1,1,9,1,8,8,1024,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
size,0,5,0,0,1,1,1,9,1,8,8,2048,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
size,0,6,0,0,1,1,1,9,1,8,8,4096,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
dist,0,7,0,0,1,1,1,2,1,1,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0201,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0201,1
dist,0,8,0,0,1,1,1,3,1,2,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0301,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0301,1
dist,0,9,0,0,1,1,1,4,1,3,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0401,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0401,1
dist,0,10,0,0,1,1,1,6,1,5,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0601,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0601,1
dist,0,11,0,0,1,1,1,7,1,6,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0701,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0701,1
dist,0,12,0,0,1,1,1,8,1,7,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0801,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0801,1
dist,0,13,0,0,1,1,1,9,1,8,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0901,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0901,1
dist,0,14,0,0,1,1,1,1,2,1,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0102,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0102,1
dist,0,15,0,0,1,1,1,1,3,2,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0103,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0103,1
dist,0,16,0,0,1,1,1,1,4,3,8,64,0,0,205,25.625,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateful,0x5A5A0202,0x5A5A0104,0x5A5A0202,l1,0x0016A000,0x0016C000,0x5A5A0104,1
