# nocreadbench arch=wormhole grid=8x9 num_tx=8 repeats=1
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
size,0,0,0,0,1,1,1,9,1,8,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,1,0,0,1,1,1,9,1,8,8,128,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,2,0,0,1,1,1,9,1,8,8,256,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,3,0,0,1,1,1,9,1,8,8,512,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,4,0,0,1,1,1,9,1,8,8,1024,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,5,0,0,1,1,1,9,1,8,8,2048,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
size,0,6,0,0,1,1,1,9,1,8,8,4096,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,7,0,0,1,1,1,2,1,1,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,8,0,0,1,1,1,3,1,2,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,9,0,0,1,1,1,4,1,3,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,10,0,0,1,1,1,6,1,5,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,11,0,0,1,1,1,7,1,6,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,12,0,0,1,1,1,8,1,7,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,13,0,0,1,1,1,9,1,8,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,14,0,0,1,1,1,1,2,1,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,15,0,0,1,1,1,1,3,2,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,16,0,0,1,1,1,1,4,3,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,17,0,0,1,1,1,1,5,4,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,18,0,0,1,1,1,1,7,6,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,19,0,0,1,1,1,1,8,7,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,20,0,0,1,1,1,1,9,8,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dist,0,21,0,0,1,1,1,1,10,9,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcfan,0,22,0,0,1,1,1,2,1,1,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcfan,0,23,0,0,1,1,2,2,1,1,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcfan,0,24,0,0,1,1,4,2,1,1,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,0,25,0,0,1,1,1,9,1,8,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,0,26,0,0,1,1,1,9,1,8,8,64,64,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,0,27,0,0,1,1,1,9,1,8,8,64,128,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
dstspread,0,28,0,0,1,1,1,9,1,8,8,64,512,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,29,0,0,1,1,1,9,1,8,8,64,0,0,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,30,0,0,1,1,1,9,1,8,8,64,0,64,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,31,0,0,1,1,1,9,1,8,8,64,0,128,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
srcspread,0,32,0,0,1,1,1,9,1,8,8,64,0,512,340,42.500,0,0,8,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,33,0,0,1,1,1,9,1,8,4,64,0,0,188,47.000,0,0,4,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,34,0,0,1,1,1,9,1,8,16,64,0,0,644,40.250,0,0,16,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,35,0,0,1,1,1,9,1,8,64,64,0,0,2468,38.562,0,0,64,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
burst,0,36,0,0,1,1,1,9,1,8,128,64,0,0,4900,38.281,0,0,128,0xFFFFFFFF,0xFFFFFFFF,0,0,0,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF
