# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy
size,0,0,0,0,1,2,1,14,2,13,64,64,0,0,3260,50.938,72,72,64,0x00000000,0x00000000
size,0,1,0,0,1,2,1,14,2,13,64,128,0,0,3238,50.594,72,72,64,0x00000000,0x00000000
size,0,2,0,0,1,2,1,14,2,13,64,256,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
size,0,3,0,0,1,2,1,14,2,13,64,512,0,0,3245,50.703,72,72,64,0x00000000,0x00000000
size,0,4,0,0,1,2,1,14,2,13,64,1024,0,0,3253,50.828,72,72,64,0x00000000,0x00000000
size,0,5,0,0,1,2,1,14,2,13,64,2048,0,0,3269,51.078,72,72,64,0x00000000,0x00000000
size,0,6,0,0,1,2,1,14,2,13,64,4096,0,0,4549,71.078,83,83,64,0x00000000,0x00000000
dist,0,7,0,0,1,2,1,2,2,1,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,8,0,0,1,2,1,3,2,2,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,9,0,0,1,2,1,4,2,3,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,10,0,0,1,2,1,5,2,4,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,11,0,0,1,2,1,6,2,5,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,12,0,0,1,2,1,7,2,6,64,64,0,0,3238,50.594,72,72,64,0x00000000,0x00000000
dist,0,13,0,0,1,2,1,10,2,9,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,14,0,0,1,2,1,11,2,10,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,15,0,0,1,2,1,12,2,11,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,16,0,0,1,2,1,13,2,12,64,64,0,0,3237,50.578,72,72,64,0x00000000,0x00000000
dist,0,17,0,0,1,2,1,14,2,13,64,64,0,0,3239,50.609,72,72,64,0x00000000,0x00000000
dist,0,18,0,0,1,2,1,1,3,1,64,64,0,0,3191,49.859,71,71,64,0x00000000,0x00000000
dist,0,19,0,0,1,2,1,1,4,2,64,64,0,0,3191,49.859,71,71,64,0x00000000,0x00000000
dist,0,20,0,0,1,2,1,1,5,3,64,64,0,0,3190,49.844,71,71,64,0x00000000,0x00000000
dist,0,21,0,0,1,2,1,1,6,4,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
dist,0,22,0,0,1,2,1,1,7,5,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
dist,0,23,0,0,1,2,1,1,8,6,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
dist,0,24,0,0,1,2,1,1,9,7,64,64,0,0,3190,49.844,71,71,64,0x00000000,0x00000000
dist,0,25,0,0,1,2,1,1,10,8,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
dist,0,26,0,0,1,2,1,1,11,9,64,64,0,0,3189,49.828,71,71,64,0x00000000,0x00000000
