# dramratebench -- 2026-08-09 Blackhole card session, `dram` probe.
#
# device=blackhole-silicon simulator=no
# firmware_bundle=19.6.0 kmd=2.10.0
# collected=2026-08-09 campaign=2026-08-09 host=nextgenio-amd02
# flags: default sweep, 1..120 readers, 4096 B x 256 tx, 1 MiB per reader
# valid=yes
#
# ONE RUN, ON ONE CARD, by one operator, on one day, collected by
# perfbench/run_card_session.sh. The card is HARVESTED: addressed worker
# columns {1..7, 10..14}, physical {1..6, 11..16}.
#
# THE VALIDATION OF THE ENDPOINT-OCCUPANCY TERM shipped the same day in
# tt_sim/device/tiles.py (DramChannels). Rung 2 structurally cannot reach
# that term -- every retained DRAM row is num_transactions = 1, and a lone
# request never finds the channel busy -- so this file is the only evidence
# for it on either architecture.
#
#   onechan  46.33 -> 47.12 B/cycle over 1 -> 120 readers   (x1.02)
#   fanchan  46.37 -> 227.19 B/cycle over the same readers  (x4.90)
#
# Per-reader throughput on one channel falls as 1/N exactly (46.3, 23.1,
# 11.3, 5.68, 3.84, 2.89, 1.95, 1.47, 0.98, 0.39), which is what perfect
# serialisation at the endpoint looks like. Same reader count, same issue
# loop, same transaction size; only the endpoint differs.
#
# 47.1 B/cycle is ALSO what rung 2 derives for Blackhole DRAM reads from the
# vendor's 8,140-point NoC dataset (docs/plans/cost-model.md). Two wholly
# independent methods, agreeing to about 0.05 %.
#
# CORROBORATION, NEVER PROVENANCE. BlackholeA0 publishes no DRAM tile page at
# all -- no per-channel rate, no address map -- so nothing here can make
# dram.bandwidth chargeable on this part. It confirms a SHAPE.
#
# Caveat that must travel with the file: the `samecore` arm fires on neither
# descriptor (tt-metal maps every bank to a distinct NoC coord), so this
# separates THE ENDPOINT from the fabric, not the GDDR6 channel from the
# inbound router link.
# dramratebench arch=blackhole magic=0x44524231 grid=12x10 clock_mhz=1350 banks=8
# bytes_per_reader=1048576 tx_bytes=4096 num_tx=256 repeats=3 samecore=absent-on-this-part
# agg_bytes_per_cycle = num_readers * bytes_per_reader / max(t1-t0); each
# reader differences its OWN clock, so a per-core clock epoch cancels
arm,repeat,point,num_readers,num_tx,tx_bytes,bytes_per_reader,total_bytes,max_cycles,min_cycles,agg_bytes_per_cycle,agg_gb_per_s,per_reader_bytes_per_cycle,distinct_banks,distinct_dram_cores,tags_ok,max_barrier_spins,measured_readers
onechan,0,0,1,256,4096,1048576,1048576,22634,22634,46.3275,62.542,46.3275,1,1,1,0,1
fanchan,0,1,1,256,4096,1048576,1048576,22614,22614,46.3684,62.597,46.3684,1,1,1,0,1
onechan,0,2,2,256,4096,1048576,2097152,45452,45299,46.1399,62.289,23.0700,1,1,2,25195,2
fanchan,0,3,2,256,4096,1048576,2097152,22518,22444,93.1322,125.729,46.5661,2,2,2,26284,2
onechan,0,4,4,256,4096,1048576,4194304,92729,63837,45.2318,61.063,11.3080,1,1,4,45424,4
fanchan,0,5,4,256,4096,1048576,4194304,28396,22620,147.7076,199.405,36.9269,4,4,4,45545,4
onechan,0,6,8,256,4096,1048576,8388608,184607,62670,45.4404,61.344,5.6800,1,1,8,65393,8
fanchan,0,7,8,256,4096,1048576,8388608,44449,22624,188.7243,254.778,23.5905,8,8,8,65637,8
onechan,0,8,12,256,4096,1048576,12582912,273101,59995,46.0742,62.200,3.8395,1,1,12,73532,12
fanchan,0,9,12,256,4096,1048576,12582912,73040,24620,172.2743,232.570,14.3562,8,8,12,69045,12
onechan,0,10,16,256,4096,1048576,16777216,363463,107214,46.1594,62.315,2.8850,1,1,16,77842,16
fanchan,0,11,16,256,4096,1048576,16777216,78786,24373,212.9467,287.478,13.3092,8,8,16,77749,16
onechan,0,12,24,256,4096,1048576,25165824,536414,105197,46.9149,63.335,1.9548,1,1,24,83466,24
fanchan,0,13,24,256,4096,1048576,25165824,121628,34218,206.9081,279.326,8.6212,8,8,24,77801,24
onechan,0,14,32,256,4096,1048576,33554432,712463,111339,47.0964,63.580,1.4718,1,1,32,81321,32
fanchan,0,15,32,256,4096,1048576,33554432,140783,35372,238.3415,321.761,7.4482,8,8,32,81596,32
onechan,0,16,48,256,4096,1048576,50331648,1067884,102083,47.1321,63.628,0.9819,1,1,48,85202,48
fanchan,0,17,48,256,4096,1048576,50331648,259867,67046,193.6823,261.471,4.0350,8,8,48,87225,48
onechan,0,18,120,256,4096,1048576,125829120,2670510,93867,47.1180,63.609,0.3927,1,1,120,90648,120
fanchan,0,19,120,256,4096,1048576,125829120,553839,65910,227.1944,306.712,1.8933,8,8,120,89439,120
onechan,1,0,1,256,4096,1048576,1048576,22664,22664,46.2661,62.459,46.2661,1,1,1,0,1
fanchan,1,1,1,256,4096,1048576,1048576,22640,22640,46.3152,62.526,46.3152,1,1,1,0,1
onechan,1,2,2,256,4096,1048576,2097152,46191,46040,45.4017,61.292,22.7009,1,1,2,25165,2
fanchan,1,3,2,256,4096,1048576,2097152,22618,22540,92.7205,125.173,46.3602,2,2,2,24472,2
onechan,1,4,4,256,4096,1048576,4194304,90657,63548,46.2656,62.459,11.5664,1,1,4,46438,4
fanchan,1,5,4,256,4096,1048576,4194304,27786,22620,150.9503,203.783,37.7376,4,4,4,49540,4
onechan,1,6,8,256,4096,1048576,8388608,185550,63437,45.2094,61.033,5.6512,1,1,8,65407,8
fanchan,1,7,8,256,4096,1048576,8388608,44685,22636,187.7276,253.432,23.4660,8,8,8,66268,8
onechan,1,8,12,256,4096,1048576,12582912,272156,59484,46.2342,62.416,3.8528,1,1,12,73826,12
fanchan,1,9,12,256,4096,1048576,12582912,72587,24388,173.3494,234.022,14.4458,8,8,12,74934,12
onechan,1,10,16,256,4096,1048576,16777216,360932,107814,46.4830,62.752,2.9052,1,1,16,79034,16
fanchan,1,11,16,256,4096,1048576,16777216,79030,24011,212.2892,286.590,13.2681,8,8,16,79507,16
onechan,1,12,24,256,4096,1048576,25165824,532996,103123,47.2158,63.741,1.9673,1,1,24,82338,24
fanchan,1,13,24,256,4096,1048576,25165824,123659,34636,203.5098,274.738,8.4796,8,8,24,83309,24
onechan,1,14,32,256,4096,1048576,33554432,713037,112250,47.0585,63.529,1.4706,1,1,32,84143,32
fanchan,1,15,32,256,4096,1048576,33554432,141666,35486,236.8559,319.756,7.4017,8,8,32,83961,32
onechan,1,16,48,256,4096,1048576,50331648,1071523,103008,46.9721,63.412,0.9786,1,1,48,86829,48
fanchan,1,17,48,256,4096,1048576,50331648,266681,63143,188.7335,254.790,3.9319,8,8,48,86417,48
onechan,1,18,120,256,4096,1048576,125829120,2669287,93029,47.1396,63.638,0.3928,1,1,120,90079,120
fanchan,1,19,120,256,4096,1048576,125829120,537678,56101,234.0232,315.931,1.9502,8,8,120,90289,120
onechan,2,0,1,256,4096,1048576,1048576,22640,22640,46.3152,62.526,46.3152,1,1,1,0,1
fanchan,2,1,1,256,4096,1048576,1048576,22616,22616,46.3643,62.592,46.3643,1,1,1,0,1
onechan,2,2,2,256,4096,1048576,2097152,44973,44833,46.6314,62.952,23.3157,1,1,2,25562,2
fanchan,2,3,2,256,4096,1048576,2097152,22618,22517,92.7205,125.173,46.3602,2,2,2,24495,2
onechan,2,4,4,256,4096,1048576,4194304,90753,63522,46.2167,62.393,11.5542,1,1,4,49555,4
fanchan,2,5,4,256,4096,1048576,4194304,28794,23379,145.6659,196.649,36.4165,4,4,4,49349,4
onechan,2,6,8,256,4096,1048576,8388608,180678,62045,46.4285,62.678,5.8036,1,1,8,65395,8
fanchan,2,7,8,256,4096,1048576,8388608,44231,22645,189.6545,256.034,23.7068,8,8,8,66799,8
onechan,2,8,12,256,4096,1048576,12582912,273709,59892,45.9719,62.062,3.8310,1,1,12,73416,12
