# nocbench -- 2026-08-09 Blackhole card session (the 22:24 run), noc probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# firmware_bundle=19.6.0 kmd=2.10.0
# collected=2026-08-09 host=nextgenio-amd02
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `noc`).
#
# ONE RUN, ON ONE CARD, by one operator, on one day.
#
# The SECOND session's congestion pair. It reproduces the 13:41 session's
# shape verdict: FLAT at 64 and 512 B, SATURATING at 2048 / 8192 / 16384 B,
# with slopes inside 0.2 cycles/shared-link of the 13:41 run's. Read the r2
# with them -- 0.03 to 0.43 -- these are SHAPE verdicts off poor fits, not
# well-determined coefficients.
#
# Its (11,2) clock epoch reads -1460817587 cycles, tight to 4 cycles over the
# five flows that core appears in.
#
# Analysis: docs/plans/cost-model.md, "The congestion pair, and the epoch that
# was never absent". A silicon measurement is `corroboration`, never
# provenance -- nothing here is charged.
# tt_sim/ and no numpy/pyyaml. Generated at home by:
#   python3 -m tt_sim.perf.noc_congestion_plan \
#     --grid tt_sim/perf/datasets/nocbench-grid-blackhole.csv \
#     --out perfbench/nocbench/noc-plan-blackhole.csv \
#     --shared-sizes 64,512,2048,8192,16384
# from that card's own 2026-08-05 --dump-grid capture (addressed worker columns
# {1..7, 10..14}; physical {1..6, 11..16}). run_card_session.sh verifies every
# tile named here exists in the card's LIVE dump before using it, and refuses
# rather than measure against a grid this plan was not built for. Regenerate if
# the card, its harvesting, or the experiment arguments change.
# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,2-2,2-3,2-4,2-11,3-2,3-4,3-10,4-2,4-4,4-5,5-2,5-4,5-6,6-2,6-3,6-7,7-2,7-4,7-8,10-2,10-4,10-9,11-2,11-4,11-10,12-2,12-4,13-2
# hops: 24 points, 24 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 40 points, 80 flows
# measured by nocbench on arch=blackhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,0,64,4096,1,17,0,0,1,4529,670996777,671001306,14,1,2,0
1,hops,row+2,0,1,0,0,1,2,1,2,2,0,3,2,3,2,0,0,1,0,64,4096,2,17,0,0,1,4512,675870832,675875344,3,1,2,0
2,hops,row+3,0,1,0,0,1,2,1,2,3,0,4,2,4,2,0,0,1,0,64,4096,3,17,0,0,1,4520,679968576,679973096,3,1,2,0
3,hops,row+4,0,1,0,0,1,2,1,2,4,0,5,2,5,2,0,0,1,0,64,4096,4,17,0,0,1,4516,684068099,684072615,4,1,2,0
4,hops,row+5,0,1,0,0,1,2,1,2,5,0,6,2,6,2,0,0,1,0,64,4096,5,17,0,0,1,4512,688202791,688207303,3,1,2,0
5,hops,row+10,0,1,0,0,1,2,1,2,6,0,7,2,11,2,0,0,1,0,64,4096,10,17,0,0,1,4491,692610448,692614939,3,1,2,0
6,hops,row+11,0,1,0,0,1,2,1,2,7,0,10,2,12,2,0,0,1,0,64,4096,11,17,0,0,1,4504,696827150,696831654,3,1,2,0
7,hops,row+12,0,1,0,0,1,2,1,2,8,0,11,2,13,2,0,0,1,0,64,4096,12,17,0,0,1,4507,700970121,700974628,3,1,2,0
8,hops,col+1,0,1,0,0,1,2,1,2,0,1,1,3,1,3,0,0,1,0,64,4096,1,12,0,0,1,4483,705163177,705167660,3,1,2,0
9,hops,col+2,0,1,0,0,1,2,1,2,0,2,1,4,1,4,0,0,1,0,64,4096,2,12,0,0,1,4483,709295289,709299772,3,1,2,0
10,hops,col+3,0,1,0,0,1,2,1,2,0,3,1,5,1,5,0,0,1,0,64,4096,3,12,0,0,1,4464,713431415,713435879,3,1,2,0
11,hops,col+4,0,1,0,0,1,2,1,2,0,4,1,6,1,6,0,0,1,0,64,4096,4,12,0,0,1,4475,717563531,717568006,3,1,2,0
12,hops,col+5,0,1,0,0,1,2,1,2,0,5,1,7,1,7,0,0,1,0,64,4096,5,12,0,0,1,4462,721682724,721687186,3,1,2,0
13,hops,col+6,0,1,0,0,1,2,1,2,0,6,1,8,1,8,0,0,1,0,64,4096,6,12,0,0,1,4475,725878875,725883350,3,1,2,0
