# nocbench raw flows -- see docs/plans/cost-model.md and docs/bh_arch.md section 4
#
# THIS IS A REFERENCE MEASUREMENT, NOT RUN OUTPUT. Run output from
# perfbench/nocbench lands in perfbench/nocbench/src/; a curated reference
# belongs here, next to the analysis that reads it
# (`python3 -m tt_sim.perf.noc_congestion_sweep`).
#
# device=blackhole-silicon simulator=no
# campaign=2026-08-05, one card, one operator. The grid this was planned
#   against is nocbench-grid-blackhole.csv in this directory: the card is
#   HARVESTED (physical worker columns {1..6, 11..16}; 7 and 10 are disabled),
#   and every coordinate below is the corrected geometry that `--dump-grid`'s
#   NOC_NODE_ID probe established. Zero coordinate mismatches, zero invariant
#   complaints.
# NOTE the tile at SoC-physical (11, 2) keeps its own wall-clock epoch,
#   +1143914613 cycles from the rest of the device. It is a property of the
#   TILE, not of any run: see docs/bh_arch.md section 4.4. Same-core durations
#   -- the `cycles` column, which every number in the analysis is fitted to --
#   are unaffected; only cross-core t0/t1 comparisons are, and
#   `clock_skew_report` subtracts it.
# THE MAIN RUN: 87 flows over 55 runs, all six experiments (hops, size,
#   readport, shared at 64 B and 16384 B, contention, vc). This is the file the
#   controls live in, so it is the one that can carry a verdict:
#   RESULT: CONGESTION MEASURED.
#
# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=blackhole grid_x=17 grid_y=12 coord_space=translated
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,2-2,2-3,2-4,2-10,2-11,3-2,3-3,3-4,3-9,3-10,4-2,4-4,4-5,4-8,5-2,5-4,5-6,5-7,6-2,6-3,6-6,6-7,7-2,7-4,7-8,10-2,10-4,10-9,11-2,11-4,11-10,12-2,12-4,13-2
# hops: 24 points, 24 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 16 points, 32 flows
# contention: 5 points, 16 flows
# vc: 4 points, 8 flows
# measured by nocbench on arch=blackhole magic=0x4E4F4342
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links,measured,cycles,t0,t1,rendezvous_cycles,kernel_node_x,kernel_node_y,kernel_noc
0,hops,row+1,0,1,0,0,1,2,1,2,1,0,2,2,2,2,0,0,1,0,64,4096,1,17,0,0,1,4519,2977709889,2977714408,14,1,2,0
1,hops,row+2,0,1,0,0,1,2,1,2,2,0,3,2,3,2,0,0,1,0,64,4096,2,17,0,0,1,4524,2982796987,2982801511,3,1,2,0
2,hops,row+3,0,1,0,0,1,2,1,2,3,0,4,2,4,2,0,0,1,0,64,4096,3,17,0,0,1,4514,2986946084,2986950598,3,1,2,0
3,hops,row+4,0,1,0,0,1,2,1,2,4,0,5,2,5,2,0,0,1,0,64,4096,4,17,0,0,1,4513,2991036519,2991041032,3,1,2,0
4,hops,row+5,0,1,0,0,1,2,1,2,5,0,6,2,6,2,0,0,1,0,64,4096,5,17,0,0,1,4507,2995122346,2995126853,4,1,2,0
5,hops,row+10,0,1,0,0,1,2,1,2,6,0,7,2,11,2,0,0,1,0,64,4096,10,17,0,0,1,4513,2999174315,2999178828,3,1,2,0
6,hops,row+11,0,1,0,0,1,2,1,2,7,0,10,2,12,2,0,0,1,0,64,4096,11,17,0,0,1,4491,3003296046,3003300537,3,1,2,0
7,hops,row+12,0,1,0,0,1,2,1,2,8,0,11,2,13,2,0,0,1,0,64,4096,12,17,0,0,1,4507,3007364030,3007368537,3,1,2,0
8,hops,col+1,0,1,0,0,1,2,1,2,0,1,1,3,1,3,0,0,1,0,64,4096,1,12,0,0,1,4481,3011453129,3011457610,3,1,2,0
9,hops,col+2,0,1,0,0,1,2,1,2,0,2,1,4,1,4,0,0,1,0,64,4096,2,12,0,0,1,4472,3015489160,3015493632,3,1,2,0
10,hops,col+3,0,1,0,0,1,2,1,2,0,3,1,5,1,5,0,0,1,0,64,4096,3,12,0,0,1,4467,3019600339,3019604806,4,1,2,0
11,hops,col+4,0,1,0,0,1,2,1,2,0,4,1,6,1,6,0,0,1,0,64,4096,4,12,0,0,1,4459,3023673913,3023678372,3,1,2,0
12,hops,col+5,0,1,0,0,1,2,1,2,0,5,1,7,1,7,0,0,1,0,64,4096,5,12,0,0,1,4482,3027723540,3027728022,3,1,2,0
13,hops,col+6,0,1,0,0,1,2,1,2,0,6,1,8,1,8,0,0,1,0,64,4096,6,12,0,0,1,4460,3031817129,3031821589,5,1,2,0
14,hops,col+7,0,1,0,0,1,2,1,2,0,7,1,9,1,9,0,0,1,0,64,4096,7,12,0,0,1,4467,3035872936,3035877403,3,1,2,0
