# nocreadbench -- 2026-08-09 Blackhole card session, nocread probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `nocread`).
# Retires the initiator credit-limit term: in-flight is 2-3 at every burst
# length, reaches 13 only at one transaction size, and cycles_per_tx is flat
# to 1.5 % across hops 1-13. CMD_BUF_AVAIL reads 0x0 at rest AND in-loop, so
# the command-buffer depth stays UNKNOWN -- do not quote zero as a depth.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# nocreadbench arch=blackhole grid=12x10 num_tx=64 repeats=3
# every row is one timed burst; cycles_per_tx = cycles / num_tx
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end
size,0,0,0,0,1,2,1,14,2,13,64,64,0,0,3262,50.969,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
size,0,1,0,0,1,2,1,14,2,13,64,128,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
size,0,2,0,0,1,2,1,14,2,13,64,256,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
size,0,3,0,0,1,2,1,14,2,13,64,512,0,0,3240,50.625,71,71,64,0x00000000,0x00000000,68,3,3,0,0,0x00000000,0x00000000,0x00000000
size,0,4,0,0,1,2,1,14,2,13,64,1024,0,0,3248,50.750,71,71,64,0x00000000,0x00000000,68,3,3,0,0,0x00000000,0x00000000,0x00000000
size,0,5,0,0,1,2,1,14,2,13,64,2048,0,0,3273,51.141,71,71,64,0x00000000,0x00000000,68,3,3,0,0,0x00000000,0x00000000,0x00000000
size,0,6,0,0,1,2,1,14,2,13,64,4096,0,0,4537,70.891,76,76,64,0x00000000,0x00000000,68,8,13,0,0,0x00000000,0x00000000,0x00000000
dist,0,7,0,0,1,2,1,2,2,1,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,0,8,0,0,1,2,1,3,2,2,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,0,9,0,0,1,2,1,4,2,3,64,64,0,0,3240,50.625,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
dist,0,10,0,0,1,2,1,5,2,4,64,64,0,0,3241,50.641,70,70,64,0x00000000,0x00000000,68,2,3,0,0,0x00000000,0x00000000,0x00000000
