# riscvbench -- 2026-08-09 Blackhole card session, rv-gset probe.
#
# device=blackhole-silicon simulator=no
# firmware_bundle=19.6.0 kmd=2.10.0
# collected=2026-08-09 campaign=2026-08-09 host=nextgenio-amd02
# (firmware and KMD read from the run's own UMD log, not recalled.)
#
# ONE RUN, ON ONE CARD, by one operator, on one day, collected by
# perfbench/run_card_session.sh. The card is HARVESTED: addressed worker
# columns {1..7, 10..14}, physical {1..6, 11..16}; two chips present,
# auto-discovery downgrades to a 1x1 mesh.
# flags: --phase g --variants t1 --blocks 32 --gset 1
# valid: G yes
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `rv-gset`).
# gset 1: 6144 B body.
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=blackhole magic=0x7B10CF03 probe_mask=0x7FFFFFFFFFFFF phases=g variants=t1 base_blocks=32 gset=1 group_reps=16 pad=16 stack_addr=0xFFB00F98 scratch_addr=0x0017D440 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
g,t1,0,loop_overhead,-,1,1,32,64,76
g,t1,0,loop_overhead,-,1,1,64,64,140
g,t1,0,loop_overhead,-,1,1,96,64,204
g,t1,0,loop_overhead,-,1,1,128,64,268
g,t1,47,g_1024,RV_FETCH,1,1,32,1024,33169
g,t1,47,g_1024,RV_FETCH,1,1,64,1024,65861
g,t1,47,g_1024,RV_FETCH,1,1,96,1024,98778
g,t1,47,g_1024,RV_FETCH,1,1,128,1024,131676
g,t1,49,g_1536,RV_FETCH,1,1,32,1536,61610
g,t1,49,g_1536,RV_FETCH,1,1,64,1536,123205
g,t1,49,g_1536,RV_FETCH,1,1,96,1536,184805
g,t1,49,g_1536,RV_FETCH,1,1,128,1536,246405
