# riscvbench -- 2026-08-09 Blackhole card session, rv-qdrain probe.
#
# device=blackhole-silicon simulator=no campaign=2026-08-09
# Card is HARVESTED: addressed worker columns {1..7, 10..14}, physical
# {1..6, 11..16}; two chips present, auto-discovery downgrades to a 1x1 mesh.
# Collected by perfbench/run_card_session.sh (probe `rv-qdrain`).
# The .ttinsn burst sweep out to n=1024. Resolves the Tensix instruction
# queue: 27-33 entries, backlog flat across four doublings, and PER-THREAD
# (t2 1.03x/0.97x, t3 1.06x/1.05x against a shared queue's 0.50x/0.33x).
#
# Analysis: docs/plans/cost-model.md, "The second rung-3 sample". A silicon
# measurement is `corroboration`, never provenance -- nothing here is charged.
# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=blackhole magic=0x7B10CF03 probe_mask=0x7FFFFFFFFFFFF phases=qs variants=t1 base_blocks=32 gset=0 group_reps=16 pad=16 stack_addr=0xFFB00F98 scratch_addr=0x0017D440 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
q,t1,0,loop_overhead,-,1,1,32,64,76
q,t1,0,loop_overhead,-,1,1,64,64,140
q,t1,0,loop_overhead,-,1,1,96,64,204
q,t1,0,loop_overhead,-,1,1,128,64,268
q,t1,27,q_ctrl,TTQUEUE,1,1,1,1,6
q,t1,27,q_ctrl,TTQUEUE,1,1,2,1,11
q,t1,27,q_ctrl,TTQUEUE,1,1,4,1,20
q,t1,27,q_ctrl,TTQUEUE,1,1,8,1,13
q,t1,27,q_ctrl,TTQUEUE,1,1,16,1,21
q,t1,27,q_ctrl,TTQUEUE,1,1,32,1,23
q,t1,27,q_ctrl,TTQUEUE,1,1,64,1,17
q,t1,27,q_ctrl,TTQUEUE,1,1,128,1,18
q,t1,28,q_nop,TTQUEUE,1,1,1,1,7
q,t1,28,q_nop,TTQUEUE,1,1,2,1,13
q,t1,28,q_nop,TTQUEUE,1,1,4,1,23
q,t1,28,q_nop,TTQUEUE,1,1,8,1,35
q,t1,28,q_nop,TTQUEUE,1,1,16,1,37
