# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
#
# PHASE G, SET 1: a 6144-byte loop body against a 4096-byte anchor compiled
# into the SAME kernel. Thirteen rows, one thread, one phase, seconds on a
# card -- and it is tracked because it is the only evidence there is for the
# g_1536 row of the instruction-footprint table. Phase F's six bodies already
# sit within a few hundred bytes of tt-metal's kernel config buffer, so the
# footprints between 1024 and 2048 instructions could not be added to it
# (`Program size (125040) too large for kernel config buffer (70656)`, measured
# rather than predicted) and could not even be built as one kernel together.
# Hence `--gset`: set 0 pairs g_1024 with g_1280 and rides along in the two
# full runs, set 1 pairs it with g_1536, set 2 with g_1792.
#
# device=blackhole-silicon simulator=no
# firmware_bundle=19.6.0 kmd=2.10.0 -- as reported for the 2026-08-05 campaign
#   this run belongs to; this run did not re-read them.
# flags: --blocks 32 --phases g --gset 1 --variants t1
# slow_dispatch=1
# valid: G yes
# rows=12 phases=g variants=t1
# collected=2026-08-05
# host=unrecorded
#
# WHAT IT SAYS: g_1024 reads 1.000 cycles per instruction and g_1536 reads
# 1.252, in one build, so the step is read without crossing a kernel boundary.
# Together with set 0's 1.153 at 5120 bytes and set 2's 1.252 at 7168, the
# column is 1.000 / 1.153 / 1.252 / 1.252 / 1.251 at 4096 / 5120 / 6144 / 7168
# / 8192 bytes: it rises once and then SATURATES, rather than stepping cleanly
# at one footprint. The bracket is 4096-5120 bytes, and the plateau is the more
# interesting half. See docs/bh_arch.md 1.1 -- what is located is a boundary in
# LOOP-BODY SIZE, and neither the narrower bracket nor the plateau turns it
# into a cache capacity, because no document in the ISA documentation or either
# vendor tree publishes an instruction-cache size or a miss cost at all.
#
# THE INSTRUMENT-LIVE CHECK CANNOT RUN ON THIS FILE and the sweep says so
# ("phase R was not run at t1; cannot check"). It is a single-phase run by
# design; the four probes that demonstrate the instrument is not reading a
# floor are in the two full runs in this directory, taken on the same card the
# same day with the same binary.
#
# ONE RUN, ON ONE CARD, by one operator, at one power state, on one day.
#
# arch=blackhole magic=0x7B10CF03 probe_mask=0x7FFFFFFFFFFFF phases=g variants=t1 base_blocks=32 gset=1 group_reps=16 pad=16 stack_addr=0xFFB00F98 scratch_addr=0x0017D440 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
g,t1,0,loop_overhead,-,1,1,32,64,76
g,t1,0,loop_overhead,-,1,1,64,64,140
g,t1,0,loop_overhead,-,1,1,96,64,204
g,t1,0,loop_overhead,-,1,1,128,64,268
g,t1,47,g_1024,RV_FETCH,1,1,32,1024,33169
g,t1,47,g_1024,RV_FETCH,1,1,64,1024,65861
g,t1,47,g_1024,RV_FETCH,1,1,96,1024,98778
g,t1,47,g_1024,RV_FETCH,1,1,128,1024,131676
g,t1,49,g_1536,RV_FETCH,1,1,32,1536,61610
g,t1,49,g_1536,RV_FETCH,1,1,64,1536,123205
g,t1,49,g_1536,RV_FETCH,1,1,96,1536,184805
g,t1,49,g_1536,RV_FETCH,1,1,128,1536,246405
