# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
#
# THIS IS A REFERENCE MEASUREMENT, NOT RUN OUTPUT, and it is tracked as a
# CONTROL rather than as a result. Its whole value is that it reproduces a
# KNOWN-BAD configuration, so the artefact it produces can be pointed at
# instead of described. Nothing in this file should be read as a statement
# about the hardware's matrix unit. The primary dataset is
# tensixbench-blackhole.csv in this directory, and the sweep reads that one by
# default.
#
# device=blackhole-silicon simulator=no
# firmware_bundle=19.6.0 kmd=2.9.0
# flags: --blocks 32 --iters 64 --phase a --dvalid-per-thread
# slow_dispatch=1 dvalid_probes=on
# valid=yes rows=480 phases=A
# collected=2026-08-04
# host=unrecorded
#
# WHAT IS WRONG WITH IT, deliberately: `dvalid_setup=per-thread` issues one
# SETDVALID per *active* TRISC, so the number executed is exactly the thread
# count and thread count is perfectly confounded with SrcA/SrcB bank state. At
# three threads the third SETDVALID hands the Matrix Unit a bank it already
# owns, which the ISA docs classify as NonContractualBehavior and the vendor
# reference simulator asserts on. On Blackhole SETDVALID is
# UnsupportedFunctionality in the first place and leaves ImpliedSrc{A,B}Fmt --
# a format the Matrix Unit decodes -- UnpredictableValue.
#
# WHAT IT SHOWS: MVMUL/ELWADD/ELWMUL at 1.00/6.08/12.10 cycles per instruction
# across one, two and three threads, i.e. aggregate throughput FALLING as
# issuers are added, which no ISA document supports and which the primary
# dataset does not reproduce (3.0x, ~6.0 cycles/instruction flat). Every other
# probe in this file agrees with the primary dataset to three decimal places --
# that is what makes it a control rather than a second sample.
#
# IT ALSO SUPERSEDES THE ORIGINAL 2026-08-04 phase A dataset, which is why that
# file is no longer tracked: this is the same confounded configuration measured
# again on a newer benchmark binary, so it carries the same evidence and more.
#
# ONE RUN, ON ONE CARD, by one operator; host machine unrecorded. The firmware
# bundle and KMD versions are carried over from the same operator's 2026-08-04
# phase A run on the same card; they were not re-reported with this file.
#
# arch=blackhole magic=0x7B10CE02 unroll=64 probe_mask=0xFFFFF dvalid_setup=per-thread mm_block=8 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,76
A,t1,0,loop_overhead,-,1,1,64,64,140
A,t1,0,loop_overhead,-,1,1,96,64,204
A,t1,0,loop_overhead,-,1,1,128,64,268
A,t1,1,NOP,NONE,1,1,32,64,2138
A,t1,1,NOP,NONE,1,1,64,64,4235
A,t1,1,NOP,NONE,1,1,96,64,6347
A,t1,1,NOP,NONE,1,1,128,64,8459
A,t1,2,DMANOP,TDMA,1,1,32,64,2138
A,t1,2,DMANOP,TDMA,1,1,64,64,4235
A,t1,2,DMANOP,TDMA,1,1,96,64,6347
A,t1,2,DMANOP,TDMA,1,1,128,64,8459
A,t1,3,SFPNOP,SFPU,1,1,32,64,2138
A,t1,3,SFPNOP,SFPU,1,1,64,64,4235
A,t1,3,SFPNOP,SFPU,1,1,96,64,6347
A,t1,3,SFPNOP,SFPU,1,1,128,64,8459
A,t1,4,SFPMOV,SFPU,1,1,32,64,2138
A,t1,4,SFPMOV,SFPU,1,1,64,64,4235
A,t1,4,SFPMOV,SFPU,1,1,96,64,6347
A,t1,4,SFPMOV,SFPU,1,1,128,64,8459
A,t1,5,SFPADD,SFPU,1,1,32,64,2137
A,t1,5,SFPADD,SFPU,1,1,64,64,4235
A,t1,5,SFPADD,SFPU,1,1,96,64,6347
A,t1,5,SFPADD,SFPU,1,1,128,64,8459
A,t1,6,SFPMUL,SFPU,1,1,32,64,2138
A,t1,6,SFPMUL,SFPU,1,1,64,64,4235
A,t1,6,SFPMUL,SFPU,1,1,96,64,6347
A,t1,6,SFPMUL,SFPU,1,1,128,64,8459
A,t1,7,SFPMAD,SFPU,1,1,32,64,2139
A,t1,7,SFPMAD,SFPU,1,1,64,64,4235
A,t1,7,SFPMAD,SFPU,1,1,96,64,6347
A,t1,7,SFPMAD,SFPU,1,1,128,64,8459
A,t1,8,SFPABS,SFPU,1,1,32,64,2138
A,t1,8,SFPABS,SFPU,1,1,64,64,4235
A,t1,8,SFPABS,SFPU,1,1,96,64,6347
A,t1,8,SFPABS,SFPU,1,1,128,64,8459
A,t1,9,SETDMAREG,THCON,1,1,32,64,2138
